"Timestamp","Title","Duration","Duration (s)","Type","Movie ID","Top Node ID","Device Type","Country"
"2020-12-18T06:28:23.955Z","Suits - Season 6: 'To Trouble'","41:53",2513,"Serie","80078123","70195800","1080","CA"
"2020-12-18T05:48:14.337Z","Don 2","02:27:37",8857,"Movie","70224999","70224999","1080","CA"
"2020-12-18T04:11:08.059Z","Suits - Season 6: 'To Trouble'","41:53",2513,"Serie","80078123","70195800","1080","CA"
"2020-12-18T03:28:15.469Z","Don 2","02:27:37",8857,"Movie","70224999","70224999","3080","CA"
"2020-12-17T04:31:26.877Z","Suits - Season 5: '25th Hour'","45:47",2747,"Serie","80011826","70195800","1109","CA"
"2020-12-16T20:30:49.422Z","Doctor Strange","01:55:21",6921,"Movie","80108237","80108237","1080","CA"
"2020-12-16T07:04:49.320Z","The Hunger Games: Catching Fire","02:26:32",8792,"Movie","70278934","70278934","1080","CA"
"2020-12-16T04:10:09.180Z","Suits - Season 5: 'Tick Tock'","43:18",2598,"Serie","80011825","70195800","3080","CA"
"2020-12-16T00:05:53.109Z","Suits - Season 5: 'Self Defense'","42:50",2570,"Serie","80011824","70195800","3080","CA"
"2020-12-15T06:08:48.085Z","Suits - Season 5: 'God's Green Earth'","42:26",2546,"Serie","80011823","70195800","1222","CA"
"2020-12-15T04:19:35.034Z","Suits - Season 5: 'Blowback'","45:02",2702,"Serie","80011821","70195800","1222","CA"
"2020-12-15T00:05:31.868Z","Suits - Season 5: 'Live to Fight...'","43:19",2599,"Serie","80011822","70195800","3080","CA"
"2020-12-15T00:03:57.868Z","Suits - Season 5: 'Uninvited Guests'","43:08",2588,"Serie","80011819","70195800","3080","CA"
"2020-12-14T07:13:15.943Z","Suits - Season 5: 'Faith'","44:08",2648,"Serie","80011820","70195800","1222","CA"
"2020-12-11T21:11:31.892Z","Suits - Season 5: 'Mea Culpa'","43:03",2583,"Serie","80011818","70195800","3080","CA"
"2020-12-11T07:09:55.811Z","The Hunger Games","02:22:50",8570,"Movie","70206672","70206672","1080","CA"
"2020-12-11T04:07:18.841Z","Suits - Season 5: 'Hitting Home'","43:05",2585,"Serie","80011817","70195800","1080","CA"
"2020-12-11T02:23:37.914Z","Captain America: Civil War","02:29:31",8971,"Movie","80088567","80088567","1080","CA"
"2020-12-10T17:40:41.055Z","Avengers: Age of Ultron","02:23:01",8581,"Movie","80023638","80023638","1080","CA"
"2020-12-10T08:24:50.062Z","Harry Potter and the Deathly Hallows: Part 2","02:10:27",7827,"Movie","70120085","70120085","1080","CA"
"2020-12-10T04:05:38.874Z","Suits - Season 5: 'Privilege'","41:23",2483,"Serie","80011816","70195800","1080","CA"
"2020-12-09T07:32:31.987Z","Suits - Season 5: 'Toe to Toe'","42:37",2557,"Serie","80011815","70195800","1109","CA"
"2020-12-09T07:03:44.777Z","The Avengers","02:24:07",8647,"Movie","70217913","70217913","1080","CA"
"2020-12-09T07:03:05.089Z","Crazy Rich Asians","02:00:43",7243,"Movie","80239019","80239019","1080","CA"
"2020-12-09T06:50:40.720Z","Suits - Season 5: 'No Puedo Hacerlo'","42:58",2578,"Serie","80011814","70195800","1109","CA"
"2020-12-09T06:13:07.185Z","Suits - Season 5: 'No Refills'","42:53",2573,"Serie","80011813","70195800","1109","CA"
"2020-12-09T05:42:07.138Z","Suits - Season 5: 'Compensation'","41:57",2517,"Serie","80011812","70195800","1109","CA"
"2020-12-09T05:34:15.633Z","Suits - Season 5: 'Denial'","42:35",2555,"Serie","80011811","70195800","1109","CA"
"2020-12-08T23:52:03.884Z","Suits - Season 4: 'Not Just a Pretty Face'","45:32",2732,"Serie","80011809","70195800","1080","CA"
"2020-12-08T06:48:41.039Z","Suits - Season 4: 'Intent'","43:12",2592,"Serie","80011808","70195800","3080","CA"
"2020-12-08T03:03:48.061Z","Suits - Season 4: 'Derailed'","43:08",2588,"Serie","80011807","70195800","1080","CA"
"2020-12-07T08:24:58.182Z","The Hunger Games: Mockingjay - Part 1","02:03:11",7391,"Movie","70305908","70305908","1080","CA"
"2020-12-07T06:36:42.868Z","Suits - Season 4: 'Fork in the Road'","44:50",2690,"Serie","80011806","70195800","1080","CA"
"2020-12-07T05:55:58.844Z","Suits - Season 4: 'Respect'","42:14",2534,"Serie","80011805","70195800","1080","CA"
"2020-12-07T05:48:14.078Z","Suits - Season 4: 'Enough is Enough'","42:58",2578,"Serie","80011804","70195800","1080","CA"
"2020-12-07T03:44:25.209Z","Suits - Season 4: 'This Is Rome'","44:02",2642,"Serie","80011803","70195800","1080","CA"
"2020-12-07T02:51:21.528Z","Badla","01:57:24",7044,"Movie","81112446","81112446","1080","CA"
"2020-12-07T02:43:22.343Z","Now You See Me 2","02:09:10",7750,"Movie","80093138","80093138","1080","CA"
"2020-12-06T18:29:44.881Z","Suits - Season 4: 'Gone'","43:04",2584,"Serie","80011802","70195800","3080","CA"
"2020-12-06T07:15:37.615Z","Harry Potter and the Order of the Phoenix","02:18:14",8294,"Movie","70058027","70058027","1080","CA"
"2020-12-06T06:31:25.342Z","Suits - Season 4: 'Exposure'","42:34",2554,"Serie","80011801","70195800","3080","CA"
"2020-12-06T01:49:42.015Z","Suits - Season 4: 'We're Done'","43:04",2584,"Serie","80011800","70195800","1080","CA"
"2020-12-06T00:51:58.152Z","Suits - Season 4: 'Litt the Hell Up'","43:14",2594,"Serie","80011599","70195800","3080","CA"
"2020-12-04T23:43:28.952Z","Suits - Season 4: 'Pound of Flesh'","42:52",2572,"Serie","80011598","70195800","1080","CA"
"2020-12-04T20:57:26.358Z","Spider-Man: Homecoming","02:13:34",8014,"Movie","80166369","80166369","1080","CA"
"2020-12-04T07:14:58.082Z","Suits - Season 4: 'Leveraged'","44:22",2662,"Serie","80011597","70195800","3080","CA"
"2020-12-04T00:53:47.180Z","Suits - Season 4: 'Two in the Knees'","43:04",2584,"Serie","80011596","70195800","1109","CA"
"2020-12-03T00:24:50.402Z","Suits - Season 4: 'Breakfast, Lunch and Dinner'","43:04",2584,"Serie","80011595","70195800","1080","CA"
"2020-12-02T07:52:05.373Z","Suits - Season 4: 'One-Two-Three Go...'","43:04",2584,"Serie","80011594","70195800","1080","CA"
"2020-12-01T08:33:16.554Z","Quantico - Season 1: 'Clue'","43:12",2592,"Serie","80105078","80063740","1080","CA"
"2020-12-01T05:39:43.840Z","Suits - Season 3: 'No Way Out'","45:48",2748,"Serie","70291053","70195800","3080","CA"
"2020-12-01T05:26:12.868Z","Suits - Season 3: 'Know When to Fold 'Em'","43:00",2580,"Serie","70291052","70195800","3080","CA"
"2020-11-30T06:23:17.165Z","Suits - Season 3: 'Heartburn'","43:08",2588,"Serie","70291051","70195800","1080","CA"
"2020-11-28T23:20:15.517Z","The Office (U.S.) - Season 1: 'Diversity Day'","21:47",1307,"Serie","70069628","70136120","2828","CA"
"2020-11-28T23:19:25.442Z","Friends - Season 1: 'The One with the East German Laundry Detergent'","22:41",1361,"Serie","70274001","70153404","2828","CA"
"2020-11-28T07:50:41.638Z","The Amazing Spider-Man 2","02:21:40",8500,"Movie","70293702","70293702","3080","CA"
"2020-11-28T03:31:03.368Z","Quantico - Season 1: 'Turn'","43:10",2590,"Serie","80105077","80063740","1080","CA"
"2020-11-27T23:35:15.500Z","Suits - Season 3: 'Moot Point'","43:04",2584,"Serie","70291050","70195800","3080","CA"
"2020-11-27T23:28:12.324Z","Suits - Season 3: 'Yesterday’s Gone'","42:46",2566,"Serie","70291049","70195800","3080","CA"
"2020-11-27T04:44:18.258Z","Suits - Season 3: 'Buried Secrets'","43:08",2588,"Serie","70291048","70195800","1080","CA"
"2020-11-27T03:24:29.777Z","Harry Potter and the Deathly Hallows: Part 1","02:26:04",8764,"Movie","70115887","70115887","1080","CA"
"2020-11-27T00:46:09.998Z","Suits - Season 3: 'Stay'","46:40",2800,"Serie","70291047","70195800","1080","CA"
"2020-11-26T22:36:47.061Z","Suits - Season 3: 'Bad Faith'","43:12",2592,"Serie","70291046","70195800","1109","CA"
"2020-11-25T05:28:45.777Z","Suits - Season 3: 'Endgame'","43:06",2586,"Serie","70291045","70195800","1080","CA"
"2020-11-25T00:49:42.805Z","The Amazing Spider-Man","02:16:22",8182,"Movie","70208599","70208599","1080","CA"
"2020-11-24T08:44:56.626Z","Suits - Season 3: 'She's Mine'","42:54",2574,"Serie","70291044","70195800","3080","CA"
"2020-11-23T06:11:20.936Z","Suits - Season 3: 'The Other Time'","43:10",2590,"Serie","70291043","70195800","3080","CA"
"2020-11-23T06:06:33.053Z","Suits - Season 3: 'Shadow of a Doubt'","43:06",2586,"Serie","70291042","70195800","3080","CA"
"2020-11-23T00:35:03.559Z","Suits - Season 3: 'Conflict of Interest'","43:02",2582,"Serie","70291041","70195800","1080","CA"
"2020-11-23T00:19:43.633Z","Suits - Season 3: 'Unfinished Business'","43:10",2590,"Serie","70291040","70195800","1080","CA"
"2020-11-22T21:53:58.768Z","Harry Potter and the Half-Blood Prince","02:33:29",9209,"Movie","70099612","70099612","1080","CA"
"2020-11-21T04:03:45.666Z","Suits - Season 3: 'I Want You to Want Me'","43:04",2584,"Serie","70291039","70195800","1080","CA"
